Joy,Surprise,Anger,Sadness,Fear,Disgust,Love,Trust,Anticipation
সুখী,বিস্ময়,বিরক্ত,শোক,নির্যাতন,নরখাদক,ভালবাসা,সত্যবাদিতা,উত্তেজিত
সুখ,বিস্ফোরণ,বর্বরতা,হৃদয়বিদারক,সন্ত্রাসী,অঙ্গচ্ছেদ,ভালোবাসার,বিশ্বস্ত,উত্তেজনা
উদযাপন,চমকপ্রদ,ঘৃণা,দুঃখজনক,সন্ত্রাসীদের,শ্লীলতাহানি,প্রিয়,সম্মান,পূর্বানুমান
আনন্দিত,অতর্কিত,ঘৃণ্য,আত্মঘাতী,ভয়ঙ্কর,অজাচার,নবী,সততা,আগ্রহ
উচ্ছ্বাস,বিস্ফোরক,হিংস্রভাবে,দুর্দশা,সন্ত্রাসবাদ,ধর্ষণ,হযরত,সৎ,উত্তেজনাপূর্ণ
সেরা,আশ্চর্যজনকভাবে,ক্ষুব্ধ,হত্যাকাণ্ড,আত্মঘাতী,পচা,মুহাম্মদ,সত্য,প্রত্যাশিত
প্রেমিকা,চমকে,ক্ষিপ্ত,বিষণ্ণতা,বোমা,মৃতদেহ,দেশ,সত্যবাদী,রোমাঞ্চকর
বিস্ময়করতা,জঘন্যভাবে,ক্ষিপ্তভাবে,মারাত্মক,হামলা,হত্যাকাণ্ড,বিয়ে,বিশ্বাস,আশা
আনন্দ,আতঙ্কিত,রাগান্বিত,শোকাহত,হত্যা,মলমূত্র,সন্তান,ভ্রাতৃত্ব,অনুসন্ধান
আনন্দদায়ক,বিস্মিত,খুনি,ধ্বংস,নরঘাতক,বধ,সুন্দর,প্রতিশ্রুতিবদ্ধ,গণনা
সুখে,বিস্ময়কর,ক্রোধ,মৃত্যু,বিপর্যয়,কসাইখানা,দোয়া,আনুগত্য,শুরু
উত্তেজনা,রোমাঞ্চকর,মৃত্যুদন্ড,বিধ্বস্ত,ধ্বংস,নর্দমা,ভাই,অখণ্ডতা,অ্যাডভেঞ্চার
প্রেম,অলৌকিক,হত্যা,আত্মহত্যা,খুনি,ময়লা,দারুন,সম্মানজনক,প্রত্যাশা
কৃতজ্ঞতা,এলার্ম,বিনাশ,বিপর্যয়,সন্ত্রাস,ধর্মান্ধ,ধন্যবাদ,বিশ্বাসযোগ্যতা,ক্লাইম্যাক্স
খুশি,শক,রাগ,ভয়ঙ্কর,মরণ,সংক্রমণ,ভালো,আন্তরিক,ভবিষ্যদ্বাণী
